Aksakovo,56.0420551,37.6193651
Aksin'ino,54.7547158,36.9498682
Anosino,55.8399857,37.0090232
Aprelevka,55.5482773,37.0591563
Arhangel'skoe,55.7882944,37.2961886
Bakovka,55.6830545,37.3179844
Balashiha,55.7981904,37.9679867
Barviha,55.7409976,37.283156
Bronnicy,55.4195186,38.2628137
Buzaevo,55.7186982,37.1215241
Bykovo,55.6222772,38.0641285
Chehov,55.1526207,37.4604756
Cherkizovo,55.9662043,37.7959595
Chernogolovka,56.0096238,38.3853086
Chkalovskij,55.8841377,38.0513669
Dar'ino,55.340396,38.2917651
Dedovsk,55.8628407,37.1217052
Dmitrov,56.3427702,37.5288416
Dolgoe Ledovo,54.7490673,38.4018632
Dolgoprudnyj,55.947064,37.4992755
Domodedovo,55.4430234,37.747817
Drezna,55.7423684,38.8441855
Dubna,56.7320202,37.1668974
Dzerzhinskij,55.6260118,37.8491912
Egor'evsk,55.3851413,39.0323223
Elektrougli,55.7156109,38.2093205
Frjazino,55.9602597,38.0441437
Gazoprovod,55.5792714,37.477884
Gluhovo,55.340396,38.2917651
Golicyno,55.6123588,36.9779304
Gorki-10,55.7034114,37.0246669
Gorki-2,55.7200568,37.1590105
Gorodishhe,54.8853829,38.2269029
Himki,55.8940553,37.4439487
Hot'kovo,56.2556922,37.9891364
Hovrino,55.340396,38.2917651
Istra,55.9230933,36.8660656
Ivanteevka,55.975927,37.9195199
Jahroma,56.2915274,37.4760655
Jam,55.340396,38.2917651
Jelektrogorsk,55.8764969,38.7805307
Jelektrostal',55.7835532,38.4551611
Jubilejnyj,55.9381296,37.8430303
Kashira,54.8438311,38.1862207
Klimovsk,55.359093,37.5210415
Klin,56.3333816,36.730447
Kolomna,55.0937517,38.7688618
Kommunarka,55.5653108,37.4806535
Korobovo,55.5335512,37.8214989
Korolev,55.9316797,37.8518552
Koroljov,55.9316797,37.8518552
Kosino,55.2333276,37.8238243
Kotel'niki,55.6532044,37.8613222
Kraskovo,55.6576812,37.9829596
Krasnogorsk,55.8263313,37.326297
Krasnozavodsk,56.4447873,38.2308805
Kratovo,55.6002945,38.1703986
Kubinka,55.5634899,36.7024458
Kurovskoe,55.5739183,38.9204498
Likino-Duljovo,55.7038114,38.9600075
Ljubercy,55.686462,37.8981554
Lobnja,56.0172312,37.4852637
Losino-Petrovskij,55.8683129,38.1976624
Lukhovitcy,54.9402436,39.0279591
Lytkarino,55.579537,37.9120395
Marushkino,55.5927056,37.2079392
Mozhajsk,55.5043761,36.0245951
Mytishhi,55.9198471,37.7654985
Naro-Fominsk,55.3916241,36.7249432
Noginsk,55.8761163,38.4666594
Odincovo,55.6733745,37.2818569
Orehovo-Zuevo,55.8034354,38.9667902
Ozjory,54.8589743,38.5455312
Pavlovskij Posad,55.7758031,38.6532915
Peresvet,56.4168165,38.189767
Podol'sk,55.4312453,37.5457647
Protvino,54.875414,37.2052787
Pushhino,54.8395772,37.6258923
Pushkino,55.987833,37.8411773
Ramenskoe,55.5685727,38.2212692
Reutov,55.7617579,37.8613023
Roshal',55.6583701,39.8653499
Ruza,55.7050669,36.1882296
Sergiev Posad,56.3242317,38.1452115
Serpuhov,54.9179562,37.4229963
Shatura,55.5759603,39.530068
Shelkovo,55.065802,37.7196708
Solnechnogorsk,56.1852039,36.9776171
Staraja Kupavna,55.8065475,38.1784959
Stupino,54.9040441,38.0803509
Taldom,56.7268599,37.5174719
Vereja,55.3488147,36.1808913
Vidnoe,55.5470892,37.6986011
Volokolamsk,56.0363252,35.9573132
Voskresensk,55.3238424,38.6815131
Vysokovsk,56.3181237,36.5573127
Zarajsk,54.758532,38.8817871
Zheleznodorozhnyj,55.7373757,38.0095391
Zhukovskij,55.5974912,38.1132562
Zvenigorod,55.7313524,36.8552034
